Time	S1_A	S1_B	S2_A	S2_B	S3_A	S3_B	S4_A	S4_B
6,01	207	136	266	229	174	102	277	106
6,03	207	134	266	229	174	102	277	106
6,04	207	134	266	229	174	102	277	105
6,06	207	134	266	229	174	102	277	105
6,07	207	134	266	229	174	102	277	105
6,09	207	134	266	229	174	102	277	105
6,10	207	134	266	229	174	102	277	105
6,12	207	134	266	229	174	102	277	105
6,13	207	134	266	229	174	102	277	105
6,15	207	134	266	229	174	102	277	105
6,16	207	134	266	229	174	102	277	105
6,18	207	134	266	229	174	102	277	105
6,19	207	134	266	229	174	102	277	105
6,21	207	134	266	229	174	102	277	105
6,22	207	134	266	229	174	102	277	105
6,24	207	134	266	229	174	102	277	105
6,25	207	134	266	230	174	102	277	105
6,26	207	134	266	230	174	102	277	105
6,28	207	134	266	230	174	102	277	105
6,29	207	134	266	230	174	102	277	105
6,31	207	134	266	230	174	102	277	105
6,32	207	134	266	230	174	102	277	105
6,34	207	134	266	230	174	102	277	105
6,35	207	134	266	230	174	102	277	105
6,37	207	134	266	230	174	102	277	105
6,38	207	134	266	231	174	102	277	105
6,40	207	135	266	231	174	102	277	105
6,41	207	135	266	231	174	102	277	105
6,43	207	135	266	231	174	102	277	105
6,44	207	135	266	231	174	102	277	105
6,46	207	135	266	231	174	102	277	105
6,47	207	135	266	231	174	102	277	105
6,49	207	135	266	231	174	102	277	105
6,50	207	135	266	231	174	102	277	105
6,51	207	135	266	231	174	102	277	105
6,53	207	136	266	231	174	102	277	105
6,54	207	136	266	231	174	102	277	105
6,56	207	136	266	231	174	102	277	105
6,57	207	136	266	231	174	102	277	105
6,59	207	136	266	231	174	102	277	105
6,60	207	136	266	231	174	102	277	105
6,62	207	136	266	232	174	102	277	105
6,63	207	136	266	232	174	102	277	105
6,65	207	137	266	232	174	102	277	105
6,66	207	137	266	232	174	102	277	105
6,68	207	137	266	232	174	102	277	105
6,69	207	137	266	232	174	102	277	105
6,71	207	137	266	232	174	102	277	105
6,72	207	137	266	232	174	102	277	105
6,74	207	137	266	232	174	102	277	105
6,75	207	137	266	232	174	102	277	105
6,76	207	137	266	232	174	102	277	105
6,78	208	137	266	232	174	102	277	105
6,79	208	137	266	232	174	102	277	105
6,81	208	137	266	232	174	102	277	105
6,82	208	137	266	232	174	102	277	105
6,84	208	137	266	232	174	102	277	105
6,85	208	137	266	233	174	102	277	105
6,87	208	137	266	233	174	102	277	105
6,88	208	137	266	233	174	102	277	105
6,90	208	137	266	233	174	102	277	105
6,91	208	137	266	233	174	102	277	106
6,93	208	137	266	233	174	102	277	106
6,94	208	137	266	233	174	102	277	106
6,96	208	137	266	233	174	102	277	106
6,97	208	137	266	233	175	102	277	106
6,99	208	137	266	233	175	102	277	106
7,00	208	137	266	233	175	102	277	106
7,01	208	137	266	233	175	102	277	106
7,03	208	137	266	233	175	102	277	106
7,04	208	137	266	233	175	102	277	105
7,06	208	137	266	233	175	102	277	105
7,07	208	137	266	233	175	102	277	105
7,09	208	137	266	232	175	102	277	105
7,10	208	137	267	232	175	102	277	105
7,12	208	137	267	232	175	102	277	105
7,13	208	137	267	232	175	102	276	105
7,15	208	137	267	232	175	102	276	105
7,16	207	137	267	232	175	102	276	106
7,18	207	137	267	232	175	102	276	106
7,19	207	137	267	232	175	102	276	106
7,21	207	137	267	232	175	102	276	106
7,22	207	137	266	232	175	102	276	106
7,24	207	137	266	232	175	102	276	106
7,25	207	137	266	232	175	102	276	106
7,26	207	137	266	232	175	102	276	106
7,28	204	137	266	232	175	102	276	106
7,29	204	137	266	232	175	102	276	105
7,31	204	137	266	232	175	102	276	105
7,32	204	137	266	232	175	102	276	105
7,34	204	137	266	232	175	102	275	105
7,35	204	137	266	232	175	102	275	105
7,37	204	137	266	232	175	102	275	105
7,38	204	136	266	232	175	102	275	105
7,40	202	136	266	232	175	102	275	105
7,41	202	136	266	232	175	102	275	105
7,43	202	136	266	232	175	102	275	105
7,44	202	136	266	232	175	102	275	105
7,46	202	136	267	232	175	102	275	105
7,47	202	136	267	232	175	102	275	105
7,49	202	136	267	232	175	102	275	105
7,50	202	136	267	232	175	102	275	105
7,51	202	136	267	232	175	102	275	105
7,53	202	136	267	232	175	102	275	105
7,54	202	136	267	232	175	102	275	106
7,56	202	136	267	232	175	102	275	106
7,57	202	136	266	232	175	102	275	106
7,59	202	136	266	232	175	102	275	106
7,60	202	136	266	232	175	102	275	106
7,62	202	136	266	232	175	102	275	106
7,63	202	136	266	232	175	102	275	106
7,65	202	136	266	232	174	102	275	106
7,66	202	136	266	232	174	102	275	106
7,68	202	136	266	232	174	102	275	106
7,69	202	136	266	232	174	102	275	106
7,71	202	136	266	232	174	102	275	106
7,72	202	136	266	232	174	102	275	106
7,74	202	136	266	232	174	102	275	106
7,75	202	136	266	232	174	102	275	106
7,76	202	136	266	232	174	102	275	106
7,78	201	136	266	232	174	102	275	106
7,79	201	136	266	232	174	102	275	106
7,81	201	136	266	232	174	102	275	106
7,82	201	136	266	232	174	102	275	106
7,84	201	136	266	232	174	102	275	106
7,85	201	136	266	232	174	102	275	106
7,87	201	136	266	232	175	102	274	106
7,88	201	136	266	232	175	102	274	106
7,90	199	136	266	232	175	102	274	106
7,91	199	136	266	232	175	102	274	106
7,93	199	136	266	231	175	102	274	106
7,94	199	136	266	231	175	102	274	106
7,96	199	136	266	231	175	102	274	106
7,97	199	136	266	231	175	102	273	106
7,99	199	136	266	231	174	102	273	106
8,00	199	136	266	231	174	102	273	106
8,01	199	136	266	231	174	102	273	106
8,03	198	136	266	231	174	102	273	106
8,04	198	136	266	231	174	102	273	105
8,06	198	136	266	231	174	102	273	105
8,07	198	136	266	231	174	102	273	105
8,09	198	136	266	231	174	102	273	105
8,10	198	136	266	231	174	102	273	105
8,12	198	136	266	231	174	102	273	105
8,13	198	136	266	231	174	102	273	105
8,15	197	136	266	231	174	102	273	105
8,16	197	136	266	232	174	102	273	105
8,18	197	136	266	232	174	102	273	105
8,19	197	136	266	232	174	102	273	105
8,21	197	136	266	232	174	102	273	105
8,22	197	136	266	232	174	102	273	105
8,24	197	136	266	232	174	102	273	105
8,25	197	136	266	232	174	102	273	105
8,26	198	136	266	232	174	102	273	105
8,28	198	136	266	232	174	102	273	105
8,29	198	136	266	232	174	102	274	106
8,31	198	136	266	232	174	102	274	106
8,32	198	136	266	232	174	102	274	106
8,34	198	136	266	232	174	102	274	106
8,35	198	136	266	232	174	102	274	106
8,37	198	136	266	232	174	102	274	106
8,38	198	136	266	232	174	102	274	106
8,40	200	136	266	232	174	102	275	106
8,41	200	136	266	231	174	102	275	106
8,43	200	136	266	231	174	102	275	106
8,44	200	136	266	231	174	102	275	106
8,46	200	136	266	231	174	102	275	106
8,47	200	136	266	231	174	102	275	106
8,49	200	136	266	231	174	102	275	106
8,50	200	136	266	231	174	102	275	106
8,51	201	136	266	231	174	102	275	106
8,53	201	136	266	231	174	102	275	106
8,54	201	136	266	231	174	102	275	105
8,56	201	136	266	231	174	102	275	105
8,57	201	136	266	231	174	102	275	105
8,59	201	136	266	231	174	102	275	105
8,60	201	136	266	231	174	102	275	105
8,62	201	136	266	231	174	102	275	105
8,63	201	136	266	231	174	102	275	105
8,65	202	136	266	231	174	102	275	105
8,66	202	136	266	231	175	102	275	106
8,68	202	136	266	231	175	102	275	106
8,69	202	136	266	231	175	102	275	106
8,71	202	136	266	231	175	102	276	106
8,72	202	136	266	231	175	102	276	106
8,74	202	136	266	231	175	102	276	106
8,75	202	136	266	231	175	102	276	106
8,76	202	136	266	231	175	102	276	106
8,78	202	136	266	231	174	102	276	106
8,79	202	136	266	231	174	102	276	106
8,81	202	136	266	231	174	102	276	106
8,82	202	136	266	231	174	102	276	106
8,84	202	136	266	231	174	102	276	106
8,85	202	136	266	231	174	102	276	106
8,87	202	136	266	231	174	102	276	106
8,88	202	136	266	230	174	102	276	106
8,90	202	136	266	230	175	102	276	106
8,91	202	136	266	230	175	102	276	106
8,93	202	136	266	230	175	102	276	106
8,94	202	136	266	230	175	102	276	106
8,96	202	136	266	230	175	102	276	106
8,97	202	136	266	230	175	102	276	106
8,99	202	136	266	230	175	102	276	106
9,00	202	136	266	229	175	102	276	106
9,01	202	136	266	229	174	102	275	106
9,03	202	136	266	229	174	102	275	106
9,04	202	136	266	229	174	102	275	105
9,06	202	136	266	229	174	102	275	105
9,07	202	136	266	229	174	102	275	105
9,09	202	136	266	229	174	102	275	105
9,10	202	136	266	229	174	102	275	105
9,12	202	135	266	229	174	102	275	105
9,13	202	135	266	229	174	102	275	105
9,15	202	135	266	229	174	102	275	105
9,16	202	135	266	229	174	102	275	105
9,18	202	135	266	229	174	102	275	105
